1
134,134,134,134,134,138,138,142,142,138,134,125,125,117,117
134,134,125,130,121,125,121,134,121,113,121,93,105,65,73
134,134,125,134,125,121,117,117,113,97,65,28,36,4,24
125,125,125,125,121,113,105,101,81,69,57,36,8,32,20
121,121,121,117,109,81,97,97,85,53,61,49,36,40,36
121,125,121,113,97,69,61,109,105,109,97,65,49,36,40
121,125,121,105,69,53,105,247,247,247,113,57,24,45,36
117,117,113,89,65,89,182,251,251,243,121,53,32,32,20
113,109,105,77,69,121,247,251,251,215,65,28,8,32,28
109,105,85,65,57,89,235,247,247,109,16,16,32,36,32
97,89,73,53,36,49,101,117,113,61,49,36,49,53,73
97,89,69,57,45,57,57,109,109,105,89,65,65,93,109
101,97,77,69,81,105,97,113,113,117,101,101,93,101,109
101,101,85,89,101,89,105,77,97,65,85,65,73,65,77
73,73,69,61,53,36,40,20,28,4,32,0,28,0,20
138,130,134,178,138,162,142,121,150,121,113,109,109,121,125
142,138,125,142,121,121,117,125,130,162,243,206,247,239,247
117,117,101,101,77,69,81,121,251,251,255,255,255,251,251
65,73,53,40,49,20,113,247,255,255,255,255,251,251,251
4,24,40,28,24,65,247,251,251,251,247,251,235,247,247
32,20,28,36,45,65,134,251,247,142,247,247,251,251,251
40,36,45,40,16,36,113,247,251,251,251,255,255,255,255
36,40,32,24,24,24,117,251,251,251,251,255,251,251,239
45,36,36,24,0,40,162,247,251,251,251,247,162,109,36
32,20,20,24,8,16,69,125,134,121,117,69,101,40,65
32,28,8,0,4,28,8,45,36,77,69,73,105,109,109
36,32,36,24,53,49,61,49,77,97,101,105,105,113,105
53,73,109,113,117,113,113,109,101,101,101,101,101,109,101
93,109,117,125,121,113,109,97,85,77,65,65,69,89,81
101,109,97,105,97,97,69,61,53,49,40,45,49,53,57
170,134,158,138,150,170,178,162,146,138,130,134,130,125,134
150,150,158,150,146,138,142,142,182,146,138,113,113,77,247
121,125,125,130,162,142,190,162,190,162,130,182,247,251,255
121,113,109,109,121,125,182,190,215,198,182,247,251,255,255
162,243,206,247,239,247,198,231,231,178,190,150,247,251,255
251,255,255,255,251,251,223,223,146,150,121,97,109,97,231
255,255,255,251,251,251,215,170,121,125,117,105,73,65,109
251,247,251,235,247,247,251,247,198,125,97,77,69,49,40
142,247,247,251,251,251,255,251,251,113,65,69,61,53,32
